見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
難病患者の就労・年金・療養相談会,,,,(1)8月21日（火）(2)8月28日（火）(3)9月20日（木）いずれも13:30～16:30,(1)橋本保健所(2)御坊保健所(3)西牟婁振興局（田辺市）,難病患者とその家族,各15人（先着順）,,,,電話、ファックスで住所、氏名、電話（ファックス）番号、希望相談日、相談内容を(1)8月13日(2)20日(3)9月10日までに県難病・子ども保健相談支援センター電話073-445-0520　ファックス073-445-0603県ウェブサイトでも掲載 ,,,,https://www.pref.wakayama.lg.jp/prefg/050302/050300/kodomo/index.html,,,
和歌山大学演劇部なつやすみ公演「まおう と ゆうしゃ」,,,,8月25日（土）15:00～,県民文化会館（和歌山市）,,328人（全席自由）要整理券（先着順）,,,会場 電話073-436-1331　和歌山県文化振興財団のぺージへリンク,,,,,http://www.wacaf.or.jp/index.html,,,
介護職員初任者研修,,,,10月6日～12月下旬の土日祝,初島公民館（有田市）など,ひとり親家庭の父・母・20歳未満の子供、寡婦で和歌山市以外に在住の方,15人（抽選）,無料（テキスト代などは自己負担）,,,郵送、ファックス、Eメール で住所、氏名、生年月日、電話番号（一時保育［有料］希望者は子供の年齢、人数）を8月31日までに県母子寡婦福祉連合会〒640-8423和歌山市松江中1-4-2電話073-452-2700　ファックス073-499-8620Eメール　w-sumire@naxnet.or.jp　　　和歌山県母子寡婦福祉連合会のぺージへリンク,,,,http://www.w-sumirehome.or.jp/,,w-sumire@naxnet.or.jp,
「公の施設」の指定管理者,平成31年3月末で指定管理期間が満了する施設の指定管理者を募集します。施設ごとで募集期間は異なりますので、各所管課にお問い合わせください。【募集予定施設一覧】県民文化会館（和歌山市）問い合わせ：県庁文化学術課県国際交流センター（和歌山市）問い合わせ：県庁国際課和歌山交通公園（和歌山市）問い合わせ：県庁県民生活課県障害児（者）・高齢者歯科口腔（こうくう） 保健センター（和歌山市）問い合わせ：県庁健康推進課県勤労福祉会館（和歌山市）問い合わせ：県庁労働政策課県植物公園緑花センター、根来山げんきの森（岩出市）問い合わせ：県庁森林整備課和歌川河川公園（和歌山市）問い合わせ：県庁河川課秋葉山公園県民水泳場、紀三井寺公園、県営相撲競技場、河西緩衝緑地（東松江緑地・湊緑地・松江緑地・西松江緑地・河西公園）、和歌公園（和歌山市）問い合わせ：県庁都市政策課県立体育館、県立武道館（和歌山市）問い合わせ：県教育庁スポーツ課,,,,,,,,,,,,,,https://www.pref.wakayama.lg.jp/prefg/011700/index.html,,,
県点字図書館からのお知らせ,デイジー録音再生機「新型プレクストークPTR3」講習会,,,8月25日（土）13:30～15:30 ,和歌山ビッグ愛（和歌山市）,見えない、見えにくい方,8人（先着順）,,,,郵送、電話、ファックス、Eメールで住所、氏名、年齢、電話番号を8月17日までに県立点字図書館 〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛5階電話073-488-5721　ファックス073-488-5731,,,,http://wakaten.jp/,,wakaten@wakaten.jp,
県点字図書館からのお知らせ,身体障害者パソコンボランティア養成講座,,,9月15日（土）・16日（日）9:30～15:30 ,和歌山ビッグ愛（和歌山市）,,5人（先着順）,,,,電話、ファックスで住所、氏名、年齢、電話番号を9月10日までに県立点字図書館 〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛5階電話073-488-5721　ファックス073-488-5731,,,,http://wakaten.jp/,,wakaten@wakaten.jp,
9・10月開始の職業訓練受講生,就職に有利な専門知識や技能を修得,科目：(1)パソコン・総務経理事務科(2)パソコン・簿記経理科(3)OA事務科（ビジネス）（障害者対象）(4)介護職員初任者養成科(5)ビジネスパソコン基礎科(6)溶接加工科(7)住環境計画科(8)電気設備技術科(9)パソコン基礎科(10)ビジネスパソコン実践科(11)OA事務科（初級）（障害者対象）,,,(1)～(8)和歌山市(9)岩出市、田辺市(10)岩出市(11)田辺市,,,,,,ハローワーク（申込締切日あり）※詳しくはWEBサイトを要確認,,,,https://jsite.mhlw.go.jp/wakayama-roudoukyoku/riyousha_mokuteki_menu/kyushokuchu/201712.html,,,
県人権啓発センターからのお知らせ,人権（こころ）の詩（うた） パネル展 2008～2017知事賞作品－つたわるココロ－,,,8月13日（月）～9月6日（木）9:30～17:00　※日曜日除く,県人権啓発センター（和歌山市）,,,,電話、ファックス、Eメールで氏名、電話番号を県人権啓発センター※一時保育・手話通訳・要約筆記は要予約,県人権啓発センター電話073-435-5420　ファックス073-435-5421Eメール　seminar@w-jinken.jp　　和歌山県人権啓発センターのぺージへリンク　,,,,,http://w-jinken.jp/,,seminar@w-jinken.jp　,
県人権啓発センターからのお知らせ,人権を考える公開講座 ,テーマ：心の充電　今日はしてみませんか～（高齢者の人権）,,9月8日（土）14:00～15:30,岩出市総合保健福祉センター,県内在住・在勤・在学の方,50人（先着順）,,電話、ファックス、Eメールで氏名、電話番号を県人権啓発センター※一時保育・手話通訳・要約筆記は要予約,県人権啓発センター電話073-435-5420　ファックス073-435-5421Eメール　seminar@w-jinken.jp　　和歌山県人権啓発センターのぺージへリンク　,,,,,http://w-jinken.jp/,,seminar@w-jinken.jp　,
戦没者遺児による慰霊友好親善事業参加者,本年度は18コース（各コースにより実施時期、申込締切日を設定）を8月～平成31年3月にかけて実施,,,,,対象地域で戦没された方の遺児,,,郵送、電話で県遺族連合会　〒640-8146和歌山市一番丁3電話073-424-5813,,,,,,,,,
